"id","source_id","source","type","user_name","created_at","fetched_at","link","image","flagged"
223,"658694452400271400","twitter","tweet","weizbad","2015-10-26 13:19:30-04","2015-10-26 13:19:30.114-04","//twitter.com/weizbad/statuses/658694452400271361",,TRUE
190,"658694422293565400","twitter","tweet","Max93F","2015-10-26 13:19:22-04","2015-10-26 13:19:22.886-04","//twitter.com/Max93F/statuses/658694422293565440",,
191,"657618548899094500","twitter","retweet","NumbersUSA","2015-10-23 14:04:14-04","2015-10-26 13:19:23.044-04","//twitter.com/NumbersUSA/statuses/657618548899094528",,TRUE
192,"658689508737552400","twitter","retweet","chadopitz","2015-10-26 12:59:51-04","2015-10-26 13:19:23.191-04","//twitter.com/chadopitz/statuses/658689508737552384",,TRUE
202,"658694436583440400","twitter","tweet","fyxevemomelu","2015-10-26 13:19:26-04","2015-10-26 13:19:26.329-04","//twitter.com/fyxevemomelu/statuses/658694436583440384",,TRUE
208,"658694438890426400","twitter","tweet","CallawayBOT","2015-10-26 13:19:26-04","2015-10-26 13:19:26.923-04","//twitter.com/CallawayBOT/statuses/658694438890426369",,
195,"658694425124708400","twitter","tweet","benhod85","2015-10-26 13:19:23-04","2015-10-26 13:19:23.548-04","//twitter.com/benhod85/statuses/658694425124708352",,
1392,"5550296508_10154204409286509","facebook","link","CNN","2015-11-09 12:15:01-05","2015-11-09 17:14:40.254-05","https://www.facebook.com/5550296508_10154204409286509","https://fbexternal-a.akamaihd.net/safe_image.php?d=AQBsO--MupimwAfc&w=130&h=130&url=http%3A%2F%2Fi2.cdn.turner.com%2Fcnnnext%2Fdam%2Fassets%2F151109142206-climate-change-4-degrees-12-large-169.jpg&cfs=1",
196,"658694425426571300","twitter","tweet","SevierR","2015-10-26 13:19:23-04","2015-10-26 13:19:23.812-04","//twitter.com/SevierR/statuses/658694425426571264",,
197,"658694431126655000","twitter","tweet","leonpui_","2015-10-26 13:19:24-04","2015-10-26 13:19:25.064-04","//twitter.com/leonpui_/statuses/658694431126654976",,
198,"658694432410112000","twitter","tweet","CriswellsOk","2015-10-26 13:19:25-04","2015-10-26 13:19:25.319-04","//twitter.com/CriswellsOk/statuses/658694432410112001",,
1078,"5550296508_10154184941856509","facebook","link","CNN","2015-10-31 16:16:01-04","2015-10-31 16:41:40.253-04","https://www.facebook.com/5550296508_10154184941856509","https://fbexternal-a.akamaihd.net/safe_image.php?d=AQDafvQXJrcUNSES&w=130&h=130&url=http%3A%2F%2Fprod.cdata.app.sprinklr.com%2FDAM%2F682%2Fhttp___i2.cdn.turner.com_cnnne-34be2bf6-abfc-477b-bfea-cb0e3c4a2de1-1524814894_p.jpg&cfs=1&sx=135&sy=0&sw=404&sh=404",
1098,"273864989376427_1044098189019766","facebook","link","MSNBC","2015-10-31 12:29:49-04","2015-10-31 16:41:42.388-04","https://www.facebook.com/273864989376427_1044098189019766","https://fbexternal-a.akamaihd.net/safe_image.php?d=AQBDgQ77n_4rz2xE&w=130&h=130&url=http%3A%2F%2Fwww.msnbc.com%2Fsites%2Fmsnbc%2Ffiles%2Farticles%2Frtx1tdjl.jpg&cfs=1&sx=344&sy=0&sw=1400&sh=1400",
199,"651492256034197500","twitter","retweet","cristaIclear","2015-10-06 16:20:32-04","2015-10-26 13:19:25.546-04","//twitter.com/cristaIclear/statuses/651492256034197504","http://pbs.twimg.com/media/CQqQvb1W8AAFDd3.jpg",
200,"658690929407037400","twitter","retweet","suemitsu","2015-10-26 13:05:30-04","2015-10-26 13:19:26.052-04","//twitter.com/suemitsu/statuses/658690929407037440",,
1393,"5550296508_10154204454811509","facebook","link","CNN","2015-11-09 12:40:02-05","2015-11-09 17:14:40.252-05","https://www.facebook.com/5550296508_10154204454811509","https://external.xx.fbcdn.net/safe_image.php?d=AQDevQFtnm2R1oIQ&w=130&h=130&url=http%3A%2F%2Fi2.cdn.turner.com%2Fcnnnext%2Fdam%2Fassets%2F151109135643-hietaniemi-beach-helsinki-happy-large-169.jpg&cfs=1&sx=168&sy=0&sw=259&sh=259",TRUE
201,"658694436616953900","twitter","tweet","SNorth76","2015-10-26 13:19:26-04","2015-10-26 13:19:26.325-04","//twitter.com/SNorth76/statuses/658694436616953856",,
207,"658662715452465200","twitter","retweet","JussieSmollett","2015-10-26 11:13:23-04","2015-10-26 13:19:26.738-04","//twitter.com/JussieSmollett/statuses/658662715452465153",,
209,"658690052126437400","twitter","retweet","GarudaNangkuti","2015-10-26 13:02:00-04","2015-10-26 13:19:27.117-04","//twitter.com/GarudaNangkuti/statuses/658690052126437376",,
203,"658694436948484100","twitter","tweet","PericlesUS","2015-10-26 13:19:26-04","2015-10-26 13:19:26.462-04","//twitter.com/PericlesUS/statuses/658694436948484096","http://pbs.twimg.com/media/CSQnGTFWwAAYNPQ.jpg",
204,"658694436763865100","twitter","tweet","bweiss14","2015-10-26 13:19:26-04","2015-10-26 13:19:26.629-04","//twitter.com/bweiss14/statuses/658694436763865088",,
205,"658690818660769800","twitter","retweet","amandacarpenter","2015-10-26 13:05:03-04","2015-10-26 13:19:26.687-04","//twitter.com/amandacarpenter/statuses/658690818660769792",,
206,"658694438202552300","twitter","tweet","ForQ2","2015-10-26 13:19:26-04","2015-10-26 13:19:26.717-04","//twitter.com/ForQ2/statuses/658694438202552320",,
225,"658694452693848000","twitter","tweet","HazeW","2015-10-26 13:19:30-04","2015-10-26 13:19:30.146-04","//twitter.com/HazeW/statuses/658694452693848064",,
259,"658693694363557900","twitter","retweet","CounterMoonbat","2015-10-26 13:16:29-04","2015-10-26 13:19:35.662-04","//twitter.com/CounterMoonbat/statuses/658693694363557889",,
213,"658694444749865000","twitter","tweet","tolaATO","2015-10-26 13:19:28-04","2015-10-26 13:19:28.25-04","//twitter.com/tolaATO/statuses/658694444749864960",,
214,"658692114847539200","twitter","retweet","RenegadeCitizen","2015-10-26 13:10:12-04","2015-10-26 13:19:28.709-04","//twitter.com/RenegadeCitizen/statuses/658692114847539201",,
215,"658694446960263200","twitter","tweet","NAAPC","2015-10-26 13:19:28-04","2015-10-26 13:19:28.78-04","//twitter.com/NAAPC/statuses/658694446960263168",,
